Type,Group,Tag,Description
Screens,Commerce & Finance,Subscription & Paywall,"Upgrade, subscription, or paywall screens presenting plan options and a 'Subscribe' / 'Upgrade' call to action."
Screens,Commerce & Finance,Wallet & Balance,"Wallet overview showing account balance, points, credits, cards, or cryptocurrency holdings."
Screens,Social,Achievements & Awards,"Screens showing badges, trophies, streaks, or milestone awards earned by the user."
Screens,Social,Chat Detail,"Conversation view inside a messaging app showing a thread of messages with one contact or group."
Screens,Social,Comments,"Comment thread on a post, article, video, or product showing replies, likes, and reply composer."
Screens,Social,Followers & Following,"List of users someone follows or is followed by, with follow/unfollow buttons."
Screens,Social,Invite Teammates,"Screens to invite people by email, link, or contact list to a team, workspace, or group."
Screens,Social,Leaderboard,"Ranked list of users or teams by score, points, or activity, usually with position, avatar, and metric."
Screens,Social,Notifications,"Notifications inbox listing alerts, activity, mentions, and system messages with unread indicators."
Screens,Social,Reviews & Ratings,"Screens showing star ratings, reviews, or a form to leave a review for a product, place, or service."
Screens,Social,Social Feed,"Chronological or algorithmic feed of posts from followed users, including likes, comments, and share actions."
Screens,Social,User / Group Profile,"Profile page for another user or a group/community, showing avatar, bio, stats, and their content."
Screens,Content,Article Detail,"Long-form article or blog post reading view with title, byline, body text, and inline images."
Screens,Content,Browse & Discover,"Browse, explore, or discover screens with categories, curated sections, or search-driven discovery."
Screens,Content,Class & Lesson Detail,"Detail screen for an online course, class, or lesson with description, chapters, and 'Start' or 'Resume' actions."
Screens,Content,Code Editor,"Screens showing a code editor, IDE, or code playground with syntax-highlighted code and file tree."
Screens,Content,Emails & Messages,"Email inbox, message list, or email reading view (not 1-on-1 chat — think Gmail-style mail)."
Screens,Content,Event Detail,"Detail view for an event: title, date/time, location, description, attendees, and RSVP button."
Screens,Content,Goal & Task,"Detail view for a goal, task, to-do, ticket, or project item with assignee, status, and description."
Screens,Content,Home,"Primary landing or home screen of an app — the dashboard the user sees first after launch or login."
Screens,Content,News Feed,"News or article feed with headlines, thumbnails, and summaries (distinct from a social feed of user posts)."
Screens,Content,Note Detail,"A single note or document view in a notes/notebook app with rich text, attachments, or markdown."
Screens,Content,Other Content,"Catch-all for content detail screens that don't fit the other Content categories."
Screens,Content,Post Detail,"Detail view for a social post showing the full post, media, author, likes, and comments."
Screens,Content,Product Detail,"Product detail page: images, title, price, description, variants, reviews, and 'Add to cart' button."
Screens,Content,Quiz,"Quiz, test, or question-and-answer screens with multiple-choice options, progress, and scoring."
Screens,Content,Recipe Detail,"Detail view for a cooking recipe: ingredients, instructions, cook time, and hero photo."
Screens,Content,Song & Podcast Detail,"Now-playing or detail screen for a song, album, or podcast episode with artwork and playback controls."
Screens,Content,Stories,"Full-screen, tap-to-advance story viewer (Instagram/Snapchat-style) with progress bars at the top."
Screens,Content,TV Show & Movie Detail,"Detail page for a movie or show with poster, synopsis, cast, ratings, and a 'Play' button."
Screens,Actions,Add & Create,"Screens for creating something new: new post, new project, new file, 'Create' flows and forms."
Screens,Actions,Ban & Block,"Screens to block, mute, or ban a user, with warnings or reason selectors."
Screens,Actions,Cancel,"Screens to cancel a subscription, order, booking, or in-progress action."
Screens,Actions,Delete,"Screens focused on deleting an item, with a confirmation and usually a destructive red button."
Screens,Actions,Draw & Annotate,"Drawing, sketching, markup, or annotation canvases with pen, brush, and shape tools."
Screens,Actions,Edit,"Edit mode for an existing item (post, profile, document) with editable fields and Save/Cancel."
Screens,Actions,Favorite & Pin,"Screens about favoriting, pinning, or starring items, or lists of the user's favorites."
Screens,Actions,Filter & Sort,"Filter and sort panels or sheets with multi-select options, ranges, and an 'Apply' button."
Screens,Actions,Flag & Report,"Screens to report content or a user, usually with reason options and a text box."
Screens,Actions,Follow & Subscribe,"Screens to follow a user, channel, or topic, or subscribe to a feed, newsletter, or channel."
Screens,Actions,Import & Export,"Screens to import data from other services or export data to a file or another service."
Screens,Actions,Invite & Refer Friends,"Referral screens: share invite link, earn rewards for invites, and track pending invites."
Screens,Actions,Like & Upvote,"Screens centered on liking, upvoting, or reacting to content with counts and reaction pickers."
Screens,Actions,Move,"Screens to move an item to a different folder, list, board, or category."
Screens,Actions,Other Action,"Catch-all for action-focused screens that don't fit the other Action categories."
Screens,Actions,Publish,"Publish, post, or send flow: finalize content and push it live, often with visibility and scheduling options."
Screens,Actions,Reorder,"Screens or modes for reordering items in a list via drag handles or up/down controls."
Screens,Actions,Save,"Screens focused on saving something — save-to-collection, save as draft, or save-changes dialogs."
Screens,Actions,Schedule,"Scheduling screens: pick a date/time to post, send, book, or run something in the future."
Screens,Actions,Search,"Search entry screens, live search results, suggestions, and recent-search lists."
Screens,Actions,Select,"Multi-select or item-picker modes where the user taps to select one or many items, often with a bulk-action bar."
Screens,Actions,Set,"Screens for setting a value or configuration — alarms, reminders, goals, temperatures, thresholds."
Screens,Actions,Share,"Share sheets, share-to-social screens, and link-sharing screens with copy/share options."
Screens,Actions,Transfer & Send Money,"Money-movement screens: send, transfer, request, or receive funds, with amount, recipient, and confirmation."
Screens,Actions,Upload & Download,"Screens for uploading files or media, and screens showing download progress or managing downloads."
Screens,Data,Charts,"Screens where charts or graphs (line, bar, pie, area) are the primary content, often with filters and legends."
Screens,Data,Dashboard,"Analytics dashboard: KPI tiles, charts, and data summaries on one screen, often customizable."
Screens,Data,Progress,"Progress tracking screens: habit streaks, fitness progress, goal completion, XP bars, and milestones."
Screens,User Collections,Bookmarks & Collections,"User-saved items organized into folders, collections, or boards (saved posts, bookmarked articles, wishlists)."
Screens,User Collections,Playlists,"Playlist screens for music, video, or podcasts showing ordered tracks and playback controls."
Screens,User Collections,Trash & Archive,"Trash, recycle bin, or archive screens where deleted or archived items can be restored or purged."
Screens,Utility,Audio Player,"Dedicated audio playback screen with artwork, scrubber, play/pause, next/previous, and volume."
Screens,Utility,Audio & Video Recorder,"Recording screens for voice memos or video with a record button, waveform or viewfinder, and timer."
Screens,Utility,Calendar,"Calendar views: month, week, day, or agenda with events on a grid or timeline."
Screens,Utility,Call,"Voice or video call screens: incoming call, in-call UI with mute/hangup, and call history."
Screens,Utility,Canvas,"Infinite or bounded canvas workspaces — whiteboards, diagramming, Figma/Miro-like editing surfaces."
Screens,Utility,Chat Bot,"AI or rule-based chat bot screens with a prompt input and conversational reply bubbles."
Screens,Utility,Command Palette,"Command palette or quick-action picker overlay (Cmd+K) with search and keyboard-driven actions."
Screens,Utility,Date & Time,"Dedicated date-and-time picking screens or clock/time-zone utilities."
Screens,Utility,Map,"Map-centric screens showing a map as primary content with pins, routes, search, or location picking."
Screens,Utility,Media Editor,"Photo or video editor screens with filters, crop, adjustments, trimming, or layered edits."
Screens,Utility,QR Code,"Screens that display or scan a QR code, often with a scanner viewfinder or a generated QR code image."
Screens,Utility,Timeline & History,"Chronological history or activity log screens (audit log, version history, browsing history, timeline view)."
Screens,Utility,Timer & Clock,"Timer, stopwatch, or clock screens with large time display and start/stop controls."
Screens,Utility,Video Player,"Video playback screens with video frame, scrubber, play/pause, volume, fullscreen, and captions."
Screens,Misc,Dark Mode,"Screens specifically captured in dark mode to illustrate the dark theme of any surface."
Screens,Misc,Internal Tool,"Admin panels, internal dashboards, back-office tools, or developer tools not shown to end users."
Screens,Misc,Misc,"Anything that doesn't fit another Screen category — use sparingly as a fallback."
Screens,Layouts,Kanban Board,"Column-based board layout (To Do / Doing / Done) with draggable cards, like Trello or Jira boards."
Screens,Layouts,Multi-Column Layout,"Layouts with two or more primary columns — dual-pane inbox, three-column Slack, master-detail-side layouts."
UI Elements,Control,Accordion,"Collapsible section with a header that expands or collapses a content area when tapped, often with a chevron."
UI Elements,Control,Breadcrumbs,"Horizontal trail of clickable path segments separated by '>' or '/' showing hierarchy and the current page."
UI Elements,Control,Button,"Tappable action control with text and/or icon — primary, secondary, tertiary, or destructive filled/outlined buttons."
UI Elements,Control,Checkbox,"A small square that can be checked or unchecked to toggle a boolean option, often used in lists."
UI Elements,Control,Color Picker,"Control for picking a color — swatches, color wheel, sliders, or hex input."
UI Elements,Control,Combobox,"Text field combined with a dropdown list of suggestions or selectable options (typeahead)."
UI Elements,Control,Date Picker,"Control for selecting a date — calendar grid, wheel picker, or date input."
UI Elements,Control,Editable Text,"Inline-editable text that becomes a text field when clicked — commonly seen for renaming titles in place."
UI Elements,Control,File Upload,"Control for uploading files — drag-and-drop zone, file chooser button, or upload area with file previews."
UI Elements,Control,Floating Action Button,"Circular button that floats above content in a fixed screen position, usually a '+' for a primary action."
UI Elements,Control,Link,"Inline text link (typically underlined or colored) that navigates elsewhere when clicked."
UI Elements,Control,Page Control,"Row of small dots indicating current page/position in a carousel or paginated content (dot indicators)."
UI Elements,Control,Pagination,"Numbered page navigation control with Previous/Next and page numbers (e.g., < 1 2 3 >)."
UI Elements,Control,Radio Button,"Circular selector in a group where only one option can be selected at a time."
UI Elements,Control,Rating Control,"Star rating, thumbs-up/down, or emoji rating control used to capture a rating from the user."
UI Elements,Control,Search Bar,"Text input with a magnifying-glass icon for searching, often with a clear button and placeholder like 'Search'."
UI Elements,Control,Segmented Control,"Pill-shaped row of 2+ mutually exclusive options where one is highlighted as selected (like iOS segmented control)."
UI Elements,Control,Select,"Dropdown select control showing a single value with a caret that opens a list of options."
UI Elements,Control,Slider,"Horizontal track with a draggable thumb used to pick a value within a range."
UI Elements,Control,Stepper,"+/- control for incrementing or decrementing a numeric value in small steps."
UI Elements,Control,Switch,"Toggle control (iOS-style switch) that flips a setting on or off, often with a colored background when on."
UI Elements,Control,Tab,"Horizontal row of tab labels where selecting one swaps the content area below it."
UI Elements,Control,Text Field,"Single- or multi-line text input box for user-entered text, with a label, placeholder, or helper text."
UI Elements,Control,Tile,"Tappable rectangular block (larger than a chip, simpler than a card) used to present options in a grid."
UI Elements,Control,Time Picker,"Control for selecting a time of day — clock face, wheel picker, or hour/minute inputs."
UI Elements,View,Badge,"Small label or dot attached to an element showing a count or status (red notification dot, '99+' bubble)."
UI Elements,View,Banner,"Wide, full-width attention bar across a screen — announcements, alerts, or promotional banners."
UI Elements,View,Card,"Contained rectangular unit (usually with a shadow or border) grouping related content like an image, title, and actions."
UI Elements,View,Carousel,"Horizontally scrollable or swipeable row of cards/images, often paired with page dots."
UI Elements,View,Chip,"Small, pill-shaped element representing a tag, filter, selected option, or person (with optional close icon)."
UI Elements,View,Divider,"Thin horizontal or vertical line used to separate groups of content."
UI Elements,View,Gallery,"Grid or mosaic of images — photo gallery, media library thumbnails."
UI Elements,View,Grid List,"A list presented in a grid of tiles or cards (as opposed to a vertical list)."
UI Elements,View,Keyboard Key,"Visual representation of a keyboard key or shortcut, like 'Cmd + K' badges in UI."
UI Elements,View,Loading Indicator,"Spinner or circular progress indicator showing that content is loading (indeterminate)."
UI Elements,View,Map Pin,"Marker or pin icon placed on a map to indicate a location."
UI Elements,View,Progress Indicator,"Determinate progress bar or circular progress showing percent complete, step count, or upload progress."
UI Elements,View,Side Navigation,"Vertical navigation rail or sidebar down the left (or right) side of a screen with nav items and icons."
UI Elements,View,Skeleton,"Gray placeholder shapes mimicking the layout of loading content (skeleton screens)."
UI Elements,View,Stacked List,"Vertical list of rows stacked top-to-bottom — list items, settings rows, inbox rows."
UI Elements,View,Status Dot,"Small colored dot indicating online/offline, live, or status (green/yellow/red dot)."
UI Elements,View,Table,"Data table with rows and columns, column headers, and optionally sortable/filterable cells."
UI Elements,View,Table of Contents,"Outline or jump-to-section list indicating the structure of a long document or page."
UI Elements,View,Toolbar,"Compact bar of action icons/buttons, often at the top or bottom of a view (formatting toolbar, editor toolbar)."
UI Elements,View,Top Navigation Bar,"Horizontal bar at the top of a screen with title, back button, and action icons (app bar, nav bar, header)."
UI Elements,View,Tree,"Hierarchical tree view with expandable/collapsible parent-child nodes (file tree, org chart)."
UI Elements,Overlay,Coach Marks,"Tooltip-style annotations layered over the UI to explain elements during onboarding, often numbered."
UI Elements,Overlay,Context Menu,"Right-click or long-press menu that appears next to an item with contextual actions."
UI Elements,Overlay,Dialog,"Modal dialog box centered over content with a title, body, and action buttons (OK/Cancel)."
UI Elements,Overlay,Drawer,"Panel that slides in from an edge of the screen (left, right, top, or bottom) — side drawer or bottom sheet."
UI Elements,Overlay,Dropdown Menu,"Menu that opens below a button or trigger with a list of selectable actions or options."
UI Elements,Overlay,Full-Screen Overlay,"A full-screen modal overlay that takes over the entire viewport, often used for lightboxes or takeovers."
UI Elements,Overlay,Navigation Menu,"Expanded navigation overlay (often the hamburger menu) that takes over part or all of the screen."
UI Elements,Overlay,Popover,"Small overlay anchored to a trigger element, floating over content with arrow/tail pointing to its source."
UI Elements,Overlay,Toast,"Short, auto-dismissing notification appearing briefly at the top or bottom of the screen (snackbar)."
UI Elements,Overlay,Tooltip,"Small hover/long-press hint showing a brief text label about an element."
UI Elements,Imagery,Avatar,"Circular (or squircle) profile image representing a person, account, or group — may show initials if no photo."
UI Elements,Imagery,Icon,"Small, single-concept pictogram used in buttons, lists, and navigation (usually monochromatic line or filled icon)."
UI Elements,Imagery,Illustration,"Decorative, flat or stylized illustration — often used in empty states, onboarding, and marketing surfaces."
UI Elements,Imagery,Logo,"Brand logo or wordmark for an app, product, or company."
UI Elements,Imagery,Photo,"Photographic image — real-world photography as opposed to illustration or icon."
UI Elements,Imagery,Animation & Video,"Animated content or video playing inline — Lottie animations, looping videos, GIFs embedded in the UI."
UI Elements,Imagery,Hero Image,"Large, prominent image/graphic at the top of a screen used as a banner or header (hero/banner image)."
UI Elements,Imagery,Thumbnail,"Small preview image representing a larger asset (video thumb, file preview, album art thumbnail)."
